sample,richness,shannon,pielou,simpson
SRR7448802.SRS3481593,23,0.6706078703719,0.213876290048641,0.233102
SRR7449257.SRS3482471,27,1.33371923362493,0.40466785458403,0.620834
SRR5170471.SRS1916981,64,1.12641916873437,0.270846558115891,0.323158
SRR6286743.SRS2683459,50,2.25281512372119,0.575869600100841,0.80049
ERR3944994.ERS4344738,27,1.82930487033259,0.555035016812082,0.76513
ERR4971780.ERS5338838,39,2.37098158943072,0.647179389470772,0.863814
ERR4971875.ERS5338933,15,0.67994011470774,0.251081059882493,0.333042
SRR3171218.SRS1297211,27,2.20363631210368,0.668612070832024,0.83613
SRR7453950.SRS3487075,36,1.10333498521918,0.307891489948294,0.403932
SRR7453782.SRS3486580,19,0.642587682768274,0.218237731301257,0.232516
SRR8941087.SRS4659641,27,1.72692363551424,0.52397121147803,0.706988
SRR535548.SRS353711,28,1.61773878408335,0.485486043591692,0.649962
SRR7454037.SRS3486988,23,0.875247199240028,0.279141704294506,0.311274
ERR2432748.ERS2304090,47,2.17267201688139,0.564308759465842,0.774626
SRR834839.SRS416131,44,2.49683684377209,0.659807537495629,0.865872
ERR1893856.ERS1623720,66,2.72364776293632,0.650088833243325,0.893382
SRR7448608.SRS3481787,23,1.138583764905,0.363127368923433,0.51798
SRR3722509.SRS1527203,79,3.55809262205971,0.814311725919965,0.954984
SRR2482057.SRS1099411,11,0.979097112578032,0.408315210294991,0.54214
SRR5183997.SRS1926640,40,2.62631879638167,0.711955711497356,0.89428
ERR1368548.ERS1123126,13,0.819178004773771,0.319373948803609,0.426184
SRR7453515.SRS3486175,37,1.17889493915133,0.326480680998934,0.458342
SRR8441914.SRS4251242,23,1.13498696300701,0.36198024453082,0.401332
ERR504551.ERS454677,102,3.14213545764276,0.67938463305506,0.912414
SRR8940182.SRS4658803,3,0.124788773612603,0.113587636784847,0.050698
SRR7453588.SRS3486772,20,0.659409932769202,0.220116443178318,0.250856
SRR8938812.SRS4657629,14,0.306254155097726,0.116046798855398,0.0952900000000001
ERR2403982.ERS2302258,61,2.4538841393554,0.596925184385064,0.853564
SRR3747033.SRS1543695,40,0.900849654371992,0.244206856195136,0.301076
SRR7453740.SRS3486622,19,1.22869005374035,0.417291736196275,0.580144
ERR3130343.ERS3088338,48,2.21203372233096,0.571407611255036,0.817508
SRR1510362.SRS656863,57,2.93282840737401,0.725399757036676,0.913608
SRR7453477.SRS3486213,38,0.885252206816913,0.243362539867235,0.288204
SRR8441883.SRS4251273,33,1.76997637719682,0.50621265536588,0.751164
SRR8940736.SRS4659392,68,1.67129899293058,0.39608862211115,0.60091
SRR7449108.SRS3481954,25,0.706762517704122,0.219568121343438,0.240448
ERR3590203.ERS3884573,89,3.41412832477718,0.760615929550318,0.94521
ERR3590394.ERS3884764,39,1.9756106507343,0.539259562568417,0.71566
SRR7448691.SRS3481705,22,1.03712246886074,0.335525145484154,0.544562
SRR576475.SRS365429,42,1.7003571172779,0.454924402349621,0.630402
ERR1939228.ERS1671796,14,1.00951660844724,0.382529245241675,0.511224
ERR2585073.ERS2487830,79,2.665020005931,0.609921458251598,0.861152
SRR7449077.SRS3481986,43,1.36582445621367,0.363135279751477,0.447338
SRR7453202.SRS3486489,13,0.314440960853796,0.122591488966078,0.118438
SRR4065549.SRS1645994,4,1.12289751005299,0.80999933459001,0.64292
SRR8903775.SRS4629587,24,0.406884507223723,0.12802945731702,0.121672
SRR8939833.SRS4658445,56,2.43952206963336,0.606039486002733,0.814258
SRR7454149.SRS3486874,12,0.291944573331883,0.117487139147376,0.10234
