sample,richness,shannon,pielou,simpson
ERR3630841.ERS3727406,24,1.08755955866158,0.342209294341156,0.523238
SRR10609088.SRS5781592,381,5.01103149456229,0.843210611405749,0.972408
SRR2097652.SRS988269,267,4.36914594067804,0.781985232411156,0.949152
SRR6398170.SRS2775231,39,2.83730667483527,0.774466748180076,0.920278
SRR7969052.SRS3881367,213,3.97769559639648,0.741928526454432,0.918948
ERR2216157.ERS2039728,156,3.43675896841847,0.680565735633785,0.918622
ERR3478810.ERS3651443,251,4.41403010699672,0.798853986382933,0.970328
SRR7123615.SRS3262292,313,4.99921920988844,0.870003904163804,0.980716
SRR8073735.SRS3948070,407,5.0468628797503,0.839910099381558,0.966232
SRR9207966.SRS4885008,194,4.01312332748156,0.761813094867977,0.943702
SRR5266480.SRS1986822,138,3.01952254180506,0.61282059637015,0.847302
ERR2357547.ERS2007229,59,2.2278445338047,0.54637009824016,0.75857
DRR061145.DRS040198,476,5.61470461140414,0.910677061012285,0.991948
SRR1518782.SRS660425,310,4.85467004769222,0.846266689574452,0.97321
SRR11094612.SRS6153620,241,4.31322894424287,0.786397198756058,0.952598
SRR8046224.SRS3928542,386,5.29054873156336,0.888296372679287,0.98717
SRR11714386.SRS6605133,148,2.55077697312091,0.510439988013467,0.724992
SRR10317560.SRS5548874,339,5.03053882608001,0.86346356563009,0.979154
SRR11742188.SRS6616655,239,4.09618072842161,0.747960922149644,0.915702
ERR1551965.ERS1270630,98,2.63927846490745,0.575637335964861,0.837976
SRR7062821.SRS3217962,128,3.48977432973949,0.71924001704811,0.914182
ERR3433368.ERS3560866,194,4.4350689316974,0.841911228013397,0.977402
SRR5885921.SRS2398349,251,3.98071475755256,0.720432297841279,0.930438
SRR9176060.SRS4859806,430,5.46363258606565,0.901026734627388,0.988962
SRR6266709.SRS2670267,304,5.02609468067122,0.8791447135082,0.986156
SRR8127502.SRS3991048,343,5.02952876191987,0.861555497883868,0.982492
SRR11972845.SRS6814168,260,4.86763836186956,0.87536720942979,0.98538
DRR182195.DRS115009,450,5.37665323833509,0.880084358261056,0.98687
SRR6014931.SRS2498042,28,1.71101457363551,0.513478259935957,0.615366
SRR9671769.SRS5087093,460,5.56850772854769,0.908220849139943,0.992174
SRR10902409.SRS6006249,260,4.6983618131133,0.844925519006068,0.978352
SRR6686202.SRS2925719,357,5.2149536061862,0.887238521736892,0.988424
SRR10013567.SRS5301736,287,4.24745795664084,0.750502924951897,0.925386
SRR11094581.SRS6153651,259,4.71706754348686,0.848877721446749,0.979794
SRR8046193.SRS3928574,365,5.22009495583828,0.884777250009032,0.985266
SRR1946583.SRS888497,69,1.38003704076751,0.325933473631121,0.417906
SRR5929861.SRS2427837,385,5.44144028712543,0.914029543490248,0.992354
SRR4072713.SRS1650571,381,5.29220898345312,0.890524591088067,0.989614
SRR6686294.SRS2925719,161,3.37006858383863,0.663215981601758,0.91564
SRR3747525.SRS1540142,371,4.96687366215743,0.839537529245307,0.970682
SRR11722086.SRS6606069,200,4.22083818699531,0.79663747846522,0.965754
SRR9176231.SRS4860100,344,4.96263723417834,0.849673293672,0.97817
SRR4453890.SRS1761943,138,3.60460781138234,0.731565298178337,0.933312
ERR1976623.ERS1735837,415,5.54769359910985,0.920278248672815,0.992652
SRR5208672.SRS1943841,132,3.3276799808897,0.681510336410916,0.902342
ERR1309563.ERS1082972,53,2.59228882016053,0.652921466885611,0.871496
SRR8073758.SRS3948049,173,1.90305172654604,0.369288578309434,0.466314
SRR12597352.SRS7328012,65,2.03901114004875,0.488457588674979,0.683772
SRR11972873.SRS6814155,106,2.94684941556477,0.631904771584854,0.864334
SRR10045611.SRS5327051,184,4.17956394747253,0.801460294381235,0.969304
DRR182217.DRS115031,304,4.92860309330363,0.862091868488119,0.983392
SRR5590779.SRS2220556,199,4.12196283853359,0.778712538767901,0.95649
SRR7969010.SRS3881409,271,4.53377423599654,0.809296336075321,0.960258
SRR10419997.SRS5628393,306,4.93616202757865,0.8624248507976,0.983658
SRR2041163.SRS946214,216,3.98710341891548,0.741748262418513,0.924868
SRR941455.SRS446213,19,0.252535773307131,0.0857670256011292,0.0761580000000001
ERR1538889.ERS1257610,124,3.82182356178121,0.792863136678924,0.960578
ERR1538673.ERS1257394,114,3.87349047827715,0.817848010484065,0.968442
SRR5468426.SRS2139133,559,5.92167060262916,0.936062391152416,0.994952
SRR7763477.SRS3721893,144,2.71743370946113,0.546787886316165,0.747588
SRR10005815.SRS5294942,114,2.77317897095647,0.585528457300293,0.798858
SRR5121310.SRS1871508,247,3.35925006463423,0.609731944706272,0.772534
SRR10448684.SRS5651279,116,3.49440246742238,0.735108060842131,0.941502
SRR9030586.SRS4737280,453,5.68140302339226,0.928957363345179,0.994314
SRR6435249.SRS2802523,358,5.22022437340886,0.887712794993435,0.9887
SRR5830877.SRS2294847,354,5.20644008783168,0.887063674727578,0.988304
SRR4453917.SRS1761943,145,3.2168954064944,0.64638688203757,0.8845
ERR2564545.ERS2467451,21,1.05707834651065,0.347206620458049,0.509482
SRR8046247.SRS3928516,351,5.13960694258975,0.876948372901131,0.984668
SRR6052983.SRS2526892,306,5.06397201337234,0.884755257966718,0.988862
ERR1668497.ERS1380106,372,5.26672225790825,0.889815291096315,0.988316
SRR11206968.SRS6230944,251,4.54389886061792,0.822357716312738,0.97363
SRR3985057.SRS1591337,15,0.905611255948198,0.334414500728089,0.489004
SRR7697704.SRS3672992,185,4.04731966801652,0.775295746809711,0.954974
SRR8609163.SRS4392612,74,2.00546118400877,0.465945830413962,0.627462
SRR12483608.SRS7232198,184,3.78527181912751,0.725852051696804,0.936456
SRR7062844.SRS3217939,283,4.7440826921153,0.840337847141167,0.974656
SRR7224123.SRS3344966,104,3.37496170911084,0.726674774454231,0.930678
SRR6062206.SRS2532835,162,3.8348527275468,0.753765132856523,0.957014
SRR1518740.SRS660425,310,4.80590284447938,0.837765584614218,0.969696
SRR6490458.SRS2849624,91,2.24354092155681,0.497364397697503,0.740356
DRR182169.DRS114983,432,5.41960523823228,0.893082589449767,0.988498
ERR3494817.ERS3683105,49,1.00517437771675,0.258278723250591,0.34067
SRR5590555.SRS2220543,158,3.17435849360389,0.627022006084874,0.861636
ERR1531061.ERS1248225,321,4.7765865553977,0.827624583443246,0.971454
SRR10120479.SRS5388353,163,3.70970869407337,0.728286340677997,0.947804
SRR11586562.SRS6516419,181,4.04876173206273,0.778833133444507,0.957218
SRR11451069.SRS6401235,354,5.17791488270948,0.882203602806806,0.988524
ERR1553672.ERS1272290,55,2.3780906724114,0.593434726409815,0.819164
ERR1360123.ERS1118381,23,1.97372940668414,0.62947952404347,0.766508
ERR2715137.ERS2625846,298,4.6727516207076,0.820199217684571,0.970244
SRR12841013.SRS7530856,178,3.65233297440677,0.704840898690355,0.915102
SRR941460.SRS446218,8,0.231969259074951,0.111553633235373,0.079832
SRR10724028.SRS5847702,176,4.57636824379301,0.88509475093332,0.98368
SRR8398088.SRS4211993,295,4.63394537447954,0.814834790749293,0.964732
SRR6686102.SRS2925719,353,5.17085549528233,0.881425662783785,0.986544
SRR7123727.SRS3262182,76,3.6505547479421,0.842941474595787,0.963034
ERR2898598.ERS2897763,386,5.33759144793981,0.896194962492641,0.99077
SRR11928047.SRS6773594,164,3.16141042965934,0.619900633556028,0.864444
SRR6424966.SRS2792155,363,5.23354032229504,0.887883042514817,0.989586
SRR9176345.SRS4859986,351,5.25237259015106,0.896189075984585,0.988104
SRR8710135.SRS4473052,121,2.96465804637616,0.618179217417692,0.856718
SRR6686194.SRS2925719,273,4.8395327408999,0.862743038489657,0.983758
