sample,richness,shannon,pielou,simpson
SRR5434177.SRS2112940,156,3.26530854334134,0.646614188336001,0.900148
ERR3711496.ERS4122941,573,5.97161898033544,0.940281284643319,0.994876
SRR5879003.SRS2393496,212,4.36577860094681,0.815030016708566,0.970828
SRR7585696.SRS3590052,326,4.88401709333572,0.843978521039931,0.980562
ERR1653496.ERS1360103,281,3.88033436042884,0.688203312489982,0.86397
SRR7658030.SRS3638029,19,1.1125203669229,0.377837807064304,0.43599
ERR3770987.ERS4187115,374,5.39335604823226,0.910385410870683,0.992032
ERR1653628.ERS1360235,460,5.74752457909997,0.937418408691746,0.994916
SRR7550309.SRS3569630,355,5.27865032721824,0.898934680206715,0.990552
ERR3711626.ERS4123041,309,4.9500386594679,0.863377639739304,0.983608
ERR1942675.ERS1673091,305,4.79691674245515,0.838576100357258,0.980178
ERR1544648.ERS1262264,366,5.07025432941305,0.85898175323239,0.981204
SRR6930388.SRS3116090,344,5.01261351368771,0.858229935637232,0.981962
SRR10552211.SRS5734543,201,4.25286263930768,0.801926857504438,0.971534
SRR7505918.SRS3535300,257,4.17082745705356,0.751625566714916,0.92091
ERR3711429.ERS4122889,483,5.78875637388991,0.936689445726427,0.994712
SRR7585882.SRS3590319,201,4.39073232150238,0.827923794241979,0.969248
ERR2016809.ERS1800238,342,5.03087955382957,0.862218121639065,0.977668
ERR3771076.ERS4187204,268,4.68374093335168,0.837730609940308,0.969632
SRR5465780.SRS2137318,363,5.21552731523683,0.884827091375289,0.988458
SRR10552180.SRS5734574,181,4.24386965125072,0.816364734985208,0.97105
SRR9593118.SRS5021499,335,5.25386740128752,0.90363767592234,0.989738
SRR5873718.SRS2389121,6,0.0641977036555195,0.0358294206103333,0.017896
DRR065560.DRS071008,345,5.11110411194275,0.874658212068368,0.984952
ERR1159504.ERS993006,376,5.33090749018105,0.89903488441923,0.989936
ERR1933890.ERS1666630,59,2.41285514272346,0.591743221470525,0.841992
SRR5879077.SRS2393422,239,4.61057020935869,0.841888230541144,0.979784
SRR5880092.SRS2392432,288,4.81801932974109,0.850795153284459,0.980952
ERR4009340.ERS3727386,340,5.21697853054964,0.895012386938092,0.989864
SRR5447768.SRS2124099,258,4.66094830447053,0.839362907867502,0.97678
ERR3711516.ERS4122959,191,4.1380288268763,0.787854799176987,0.957422
SRR2954002.SRS1174284,301,5.05074055356416,0.884990883172713,0.986678
SRR7585526.SRS3590221,294,4.36005844826827,0.767132445879238,0.950752
SRR5886460.SRS2398712,208,3.69057425022319,0.691437549505916,0.88339
DRR065548.DRS070996,379,5.08407158494244,0.856259466778588,0.98191
SRR2856453.SRS1139866,289,4.14561561189612,0.731610208704047,0.907706
SRR8639568.SRS4415483,145,3.10323896980579,0.623549325806698,0.849064
ERR2215444.ERS2038580,373,5.38428363261348,0.909264937664601,0.99072
ERR1942336.ERS1672856,215,4.56669590645087,0.850307893128096,0.978358
ERR1942658.ERS1673074,286,4.79816652284721,0.8483333574968,0.97899
SRR7585495.SRS3590251,337,5.17426580396589,0.889036439151328,0.988204
SRR5877357.SRS2392482,299,4.79192412976227,0.84062302662387,0.974652
SRR8639504.SRS4415475,285,4.46711809130124,0.790292196736046,0.952142
SRR7585489.SRS3590317,333,4.80620360630674,0.827494093782627,0.974852
SRR6145510.SRS2571019,100,3.68456193820466,0.800092458996516,0.959674
SRR7550325.SRS3569614,256,4.13527919048052,0.745743347599697,0.943354
SRR8772594.SRS4526276,164,4.0040066863124,0.785119913036754,0.960226
ERR4013069.ERS4415521,397,5.49099155343516,0.917621995935521,0.993042
ERR4013106.ERS4415558,404,5.47679440854409,0.9125838689567,0.992326
