sample,richness,shannon,pielou,simpson
ERR1864816.ERS1575799,78,2.85856702362337,0.656129922227423,0.874576
SRR10946703.SRS6047320,526,5.70029352130232,0.909819548613768,0.985164
SRR5957097.SRS2450393,48,1.60678059308915,0.415059974556143,0.552392
ERR1717066.ERS1429895,165,4.01545493868698,0.786427305033373,0.95685
SRR8547950.SRS4338173,44,2.26757523881627,0.599223468742596,0.79237
ERR2162350.ERS1961141,23,1.13114418893076,0.360754672480098,0.504956
ERR1188470.ERS936083,210,4.57211570572579,0.855063355180424,0.97863
SRR8074881.SRS3949101,107,2.74038977037623,0.586451990316012,0.780786
SRR5998490.SRS2377903,262,4.57714823465794,0.821994442255923,0.972886
ERR1717025.ERS1429854,69,3.16246620260041,0.746902846956426,0.902682
SRR10694364.SRS5829273,110,2.81046422551905,0.597910002129167,0.782956
SRR8548091.SRS4338032,90,3.05842036914394,0.679677718217683,0.869022
SRR12325387.SRS7090492,101,2.43518002797068,0.52765253238444,0.822264
SRR9106084.SRS4803522,178,3.95858798933757,0.763943138673639,0.944256
ERR1864767.ERS1575750,122,3.49956036517096,0.728464828231258,0.93297
ERR1864804.ERS1575787,134,3.27379647492781,0.66841640573067,0.870506
ERR1188259.ERS935872,212,4.78091175253003,0.892529590186199,0.986736
SRR5431194.SRS2111821,55,2.31451696849327,0.577570384469791,0.832464
SRR5431231.SRS2111858,93,2.90200666051209,0.64025216984111,0.884288
ERR1188283.ERS935896,63,3.36495685583017,0.812176546998481,0.943068
SRR9329835.SRS4997226,243,4.81546181358983,0.876644447410614,0.984628
ERR1711344.ERS1422346,192,4.35027536669128,0.827442547992849,0.972504
SRR8548024.SRS4338099,70,1.87742608111145,0.441903773959701,0.574812
ERR1188250.ERS935863,149,4.19555547070451,0.838449338618911,0.966994
SRR5838221.SRS1046669,50,2.07704300394593,0.530938340869653,0.739174
SRR2895783.SRS1146317,120,2.74657281192263,0.573697660380001,0.814016
SRR5957071.SRS2450416,40,1.69907136059188,0.460592811916646,0.642682
ERR2162362.ERS1961153,48,2.00611797038699,0.518215914062419,0.783112
SRR9901491.SRS5214536,92,3.21146721490304,0.710220559891563,0.910772
ERR1717037.ERS1429866,59,1.51944183164969,0.372637125361202,0.56094
SRR12325361.SRS7090518,298,4.55761523764254,0.799989547027457,0.956892
SRR8548098.SRS4338025,63,2.52324074695533,0.609017305394978,0.828848
SRR12325329.SRS7090550,305,4.85557372011339,0.848830257813871,0.981246
ERR1864779.ERS1575762,186,4.10373097098837,0.785290835399878,0.958694
ERR1353138.ERS1092926,304,4.43177806080929,0.775189187857041,0.938512
SRR11294775.SRS6307908,12,0.362523168911289,0.145890055444223,0.1371
ERR1085087.ERS936059,18,1.52068638110558,0.526121381082291,0.699838
ERR2162345.ERS1961136,43,2.16289570146004,0.575054672692203,0.809156
ERR3220023.ERS3223901,72,2.15899622360828,0.504831605630463,0.812868
SRR11236146.SRS6253376,351,5.29437336614945,0.903355482401223,0.99136
SRR10757184.SRS5877190,132,3.56476055810176,0.730064543804707,0.933714
ERR1085109.ERS936081,144,4.14436321815519,0.833907225148431,0.971878
SRR2895805.SRS1146296,80,2.20683865314685,0.503611419356671,0.779702
SRR6266338.SRS2669857,406,5.33516311176049,0.888253316112742,0.987022
SRR3108967.SRS1254114,234,3.62730832181856,0.664911972203991,0.87911
SRR8547996.SRS4338126,91,2.99078156928629,0.663018115497833,0.863936
SRR8548144.SRS4341686,93,3.34592787540167,0.738191821372236,0.926312
ERR1085100.ERS936072,14,0.775464213845201,0.29384136719692,0.463834
SRR5839328.SRS2364746,180,4.11127712707964,0.791702539637867,0.954758
SRR9901475.SRS5214551,17,2.27603062589815,0.803338947514499,0.882608
ERR1188278.ERS935891,104,3.85731825674216,0.830532644755479,0.961054
SRR3986812.SRS1592645,91,2.58770693174236,0.573661611053036,0.837138
SRR12325345.SRS7090534,177,3.46285788528592,0.669002649497163,0.899022
