sample,richness,shannon,pielou,simpson
ERR1582633.ERS1293295,43,1.74624538899674,0.464278776795351,0.630166
ERR1582728.ERS1293390,50,1.53591521005161,0.392614053629143,0.555038
ERR1583016.ERS1293678,75,2.29426372110993,0.531388543703663,0.72347
ERR1582368.ERS1293030,169,3.95860150353609,0.771672448818603,0.945114
ERR1583401.ERS1294063,44,1.6041509529474,0.423908711806923,0.559654
ERR1582783.ERS1293445,48,1.51758866751819,0.392020115525408,0.568316
SRR7754516.SRS3714301,255,4.36298273014591,0.787362429992702,0.945244
ERR1582236.ERS1292898,80,2.43634178525704,0.555985161290184,0.773682
ERR1583425.ERS1294087,53,1.87794067068556,0.472998135042775,0.632444
ERR1583232.ERS1293894,84,2.94469917715368,0.664595109850268,0.906498
ERR1582742.ERS1293404,61,2.29234815731486,0.557630380560423,0.757364
ERR1582621.ERS1293283,69,1.79153055582092,0.423118916322897,0.584824
ERR1582063.ERS1292725,54,2.29696444050114,0.575826930789439,0.778248
ERR1582766.ERS1293428,41,1.75569560940258,0.472778117097565,0.65495
ERR1582604.ERS1293266,139,3.16590550103707,0.641589264415964,0.877074
ERR1582795.ERS1293457,63,2.30347760422925,0.555974583581903,0.772082
ERR1583437.ERS1294099,54,2.20426682696297,0.552588529117211,0.765412
ERR1582754.ERS1293416,47,1.66561539731339,0.432610790446995,0.602874
ERR1582075.ERS1292737,37,2.23755430036477,0.619663574330949,0.81085
ERR1583071.ERS1293733,99,3.1542451347964,0.686433703073929,0.902408
ERR1582616.ERS1293278,63,1.74194849945389,0.420442156601323,0.68353
ERR1582443.ERS1293105,83,3.3267085615818,0.752846471925725,0.934692
ERR1582538.ERS1293200,187,4.25673983667832,0.813735700872879,0.969484
ERR1582953.ERS1293615,76,2.65866168331087,0.613905653940607,0.809396
ERR1582832.ERS1293494,57,2.24732780477448,0.555849445356687,0.75783
ERR1583083.ERS1293745,49,2.46476429624422,0.633319143086025,0.842234
ERR1583178.ERS1293840,36,1.16064248934542,0.323883453465287,0.412038
ERR1583215.ERS1293877,58,2.601362704979,0.640659824118289,0.862844
ERR1582472.ERS1293134,77,3.26599068250165,0.751873153910268,0.939642
ERR1582046.ERS1292708,33,1.44518560915832,0.413322603698928,0.539482
ERR1583042.ERS1293704,133,3.67449018247971,0.75137583966645,0.955298
ERR1582112.ERS1292774,31,1.18701186302516,0.345665779265222,0.467598
ERR1583359.ERS1294021,69,2.67400650143229,0.631539735367765,0.84937
ERR1582455.ERS1293117,97,3.47218982451341,0.758996544443849,0.94299
ERR1582429.ERS1293091,73,3.20880637471467,0.747893417646618,0.928652
SRR7189375.SRS3321892,237,4.38327228773761,0.801613766967031,0.966
SRR12576064.SRS7312093,205,3.997030123411,0.7508966053184,0.950974
ERR1582965.ERS1293627,74,2.35970785587279,0.548250968508495,0.734744
ERR1583095.ERS1293757,73,2.6249808827172,0.611818132468955,0.830778
ERR1582100.ERS1292762,31,1.24523410379746,0.362620484482602,0.467488
ERR1582484.ERS1293146,130,3.79595614661461,0.779851932277402,0.950402
ERR1582579.ERS1293241,168,4.02912082633465,0.786328873998816,0.965232
ERR1583028.ERS1293690,84,2.37623552576489,0.536297399248197,0.732864
ERR1582124.ERS1292786,48,2.05401578285633,0.530588770014453,0.737388
ERR1582219.ERS1292881,37,1.47563269259541,0.408658609332614,0.576406
SRR7189391.SRS3321876,202,4.26688243742576,0.803818247432155,0.971006
SRR10585907.SRS5760903,299,4.68113536351786,0.821187913405389,0.970922
ERR1583463.ERS1294125,60,2.54153252144526,0.620742217178201,0.854946
ERR1583270.ERS1293932,48,1.56805615646719,0.405056764567089,0.527868
ERR1582496.ERS1293158,60,2.87839920205863,0.703018311799447,0.895066
ERR1582683.ERS1293345,63,2.24913438393619,0.542858133386136,0.732822
ERR1582778.ERS1293440,35,1.53103586877792,0.430628968612578,0.5955
ERR1582257.ERS1292919,187,4.08878376947055,0.781628535927647,0.964318
SRR10585900.SRS5760910,243,4.0995261126188,0.746309895657333,0.94677
ERR1583451.ERS1294113,35,1.85901152046896,0.522877504063606,0.731896
ERR1582642.ERS1293304,79,2.2492004896879,0.514756226789156,0.717658
ERR1582521.ERS1293183,188,4.10789550174359,0.784482198199241,0.952018
ERR1582058.ERS1292720,40,2.05876819998327,0.558101240659213,0.75167
SRR10585892.SRS5760918,288,4.78856284638666,0.845593548318688,0.980508
ERR1582286.ERS1292948,88,2.36935583310325,0.529188651932897,0.74692
ERR1583475.ERS1294137,71,2.63049771369212,0.617099521796116,0.87045
ERR1583282.ERS1293944,49,1.81708851156315,0.46689938701571,0.702916
ERR1582671.ERS1293333,90,2.83921382354404,0.630963092120217,0.859526
ERR1583408.ERS1294070,59,1.82257674171069,0.446979768250739,0.586054
ERR1583241.ERS1293903,40,2.16101783581933,0.585819586327037,0.775552
ERR1582311.ERS1292973,82,2.96241173517535,0.672248802102482,0.8774
SRR10585914.SRS5760896,231,4.20271215359297,0.772214184418056,0.946066
ERR1582654.ERS1293316,75,3.29110822158677,0.762273834933881,0.93437
ERR1582533.ERS1293195,185,4.07136681108512,0.779902165198487,0.948038
ERR1582628.ERS1293290,96,2.88244840680375,0.631513698317742,0.87034
ERR1582107.ERS1292769,49,2.43669375408677,0.626106440543957,0.823064
ERR1583103.ERS1293765,72,2.70995771967827,0.633661278262648,0.875948
ERR1583487.ERS1294149,68,2.8200878142488,0.668345222071612,0.885236
ERR1582360.ERS1293022,173,4.14138025588558,0.803637865225282,0.961132
ERR1582099.ERS1292761,29,1.17375397150772,0.348574651818589,0.434444
SRR7754518.SRS3714299,442,5.60613959613337,0.920350417999283,0.99268
ERR1582870.ERS1293532,94,2.9876084333438,0.657586306088438,0.882706
ERR1583253.ERS1293915,65,2.42672026245645,0.581335680078652,0.82635
ERR1583132.ERS1293794,34,2.13539773171506,0.605552868689596,0.832454
ERR1582323.ERS1292985,63,2.83258349125797,0.683681240973066,0.908674
ERR1583277.ERS1293939,111,3.06898856177123,0.651654927473666,0.878502
ERR1582666.ERS1293328,72,2.58581956617878,0.604634426494278,0.868636
ERR1583115.ERS1293777,43,1.93456477338446,0.51434773845521,0.73926
ERR1582372.ERS1293034,178,4.05611716672091,0.782764684660028,0.950558
ERR1582882.ERS1293544,53,1.96468909274923,0.494847516386137,0.733802
ERR1582335.ERS1292997,167,4.09049738908769,0.799238439711228,0.959984
SRR10585899.SRS5760911,280,4.35540218898625,0.772948503088134,0.951118
ERR1582841.ERS1293503,78,2.73612857190149,0.628026494481275,0.832862
ERR1582720.ERS1293382,53,2.03424535319675,0.512366696829796,0.70425
ERR1583127.ERS1293789,61,2.42399261694346,0.589653853908972,0.860608
ERR1582384.ERS1293046,150,3.59258482661284,0.716991881417866,0.893384
ERR1582479.ERS1293141,107,3.691744370564,0.790044853202742,0.950374
ERR1582516.ERS1293178,169,4.07411870732143,0.794190866862471,0.96464
ERR1582191.ERS1292853,48,1.92583034934262,0.497476195091963,0.707822
ERR1583380.ERS1294042,71,1.88303149121166,0.441748277029579,0.566178
ERR1583049.ERS1293711,87,2.57344705990699,0.576242724107426,0.790026
ERR1582894.ERS1293556,91,2.95099261119892,0.654197411144286,0.855424
ERR1582343.ERS1293005,161,3.53617152240215,0.695904373753369,0.894898
ERR1582438.ERS1293100,98,3.50555524728239,0.764575815115452,0.936226
SRR7189356.SRS3321910,118,3.18677901445559,0.667991968723466,0.861404
