rank_by_mean,player_id,biome,mean_rating,sd_rating
1,90_10;96_1164;97_1368;98_1659;99_4082,animal.6,797.2233134331553,13.816014590253051
2,90_80;96_246;97_268;98_298;99_650,animal.6,772.4121371144585,13.13154723059218
3,90_9;96_13;97_13;98_15;99_16,animal.6,762.4728914803862,13.520590189665132
4,90_13;96_1400;97_1671;98_2034;99_2628,animal.6,745.0676739601811,13.668188161167485
5,90_80;96_2489;97_3039;98_3817;99_5116,animal.6,743.9485996772875,13.521710658344327
6,90_303;96_1205;97_1425;98_1735;99_2225,animal.6,730.8963571582477,13.742882473817978
7,90_23;96_36;97_37;98_40;99_42,animal.6,727.4610317873427,13.115176550934953
8,90_44;96_87;97_92;98_2367;99_3080,animal.6,714.3239382189181,13.700898268963705
9,90_27;96_1072;97_1252;98_1504;99_1916,animal.6,712.5718860416301,13.354334875031896
10,90_10;96_1541;97_1839;98_2257;99_8603,animal.6,707.8559109817202,13.6543180563337
11,90_4;96_100;97_107;98_116;99_131,animal.6,707.2824086630831,13.32273455489279
12,90_39;96_2354;97_2866;98_3569;99_4763,animal.6,707.2559445951158,13.556899228517764
13,90_156;96_4149;97_5082;98_6477;99_8859,animal.6,705.8870767491939,13.538084926021588
14,90_150;96_2076;97_2501;98_3094;99_4091,animal.6,704.8177913490172,13.732013755553137
15,90_15355;96_3957;97_4868;98_6233;99_8531,animal.6,703.8444495133427,13.021545600912974
16,90_27;96_12833;97_15576;98_19285;99_119283,animal.6,703.5693362532515,13.35759357607522
17,90_4;96_4;97_4;98_4;99_4,animal.6,697.1816755651028,13.10228304941241
18,90_15360;96_410;97_465;98_535;99_663,animal.6,696.5357279054009,13.503345641850762
19,90_4;96_4;97_4;98_523;99_5805,animal.6,695.2962437301518,13.481517034861476
20,90_80;96_2489;97_3039;98_3817;99_111628,animal.6,694.5795146399487,13.033683170666672
21,90_14321;96_62471;97_80965;98_109590;99_166935,animal.6,691.5951929885125,12.977154941851097
22,90_80;96_246;97_268;98_71100;99_104394,animal.6,691.5062785959034,13.179958856367701
23,90_124;96_2643;97_3240;98_4073;99_5454,animal.6,687.6746241969577,13.293384890115533
24,90_18;96_273;97_301;98_335;99_403,animal.6,687.0130978650939,13.129409864311818
25,90_224;96_819;97_953;98_3573;99_4768,animal.6,686.0623668002746,13.141062569466087
26,90_178;96_1517;97_1809;98_2213;99_2859,animal.6,685.9290415344616,13.245825860842293
27,90_10;96_1164;97_72056;98_96810;99_146183,animal.6,685.340509457152,12.963848592926972
28,90_295;96_3058;97_3756;98_4767;99_6460,animal.6,684.2148544933157,13.515812032227496
29,90_10;96_1164;97_1368;98_1659;99_2125,animal.6,682.0204541878416,13.094321315305065
30,90_4;96_4;97_490;98_1706;99_2187,animal.6,681.7808647403948,13.493027356062985
31,90_10680;96_46531;97_59729;98_79342;99_117507,animal.6,679.7303457828442,13.108145104036774
32,90_37;96_1715;97_2054;98_2523;99_3290,animal.6,679.6029014435563,13.410327390082276
33,90_559;96_2960;97_3641;98_4607;99_6212,animal.6,678.1183234661795,13.300462542991188
34,90_18;96_30;97_31;98_34;99_36,animal.6,677.3574827796416,13.056791023148575
35,90_347;96_5014;97_6068;98_7588;99_14839,animal.6,676.8381197782502,13.235210265157543
36,90_80;96_1834;97_2203;98_2702;99_3525,animal.6,676.7458840545282,13.327337063541817
37,90_224;96_819;97_953;98_1120;99_2660,animal.6,676.5214656605112,13.102987180385682
38,90_10;96_1541;97_1839;98_2257;99_2921,animal.6,673.747325308692,13.062598924713278
39,90_172;96_3849;97_6223;98_7765;99_10420,animal.6,671.9387151309785,13.179452081087202
40,90_15963;96_304;97_338;98_380;99_460,animal.6,671.5339565565389,13.164942122774153
41,90_12;96_3772;97_4647;98_5968;99_8203,animal.6,670.7331211170451,13.1168807030627
42,90_2;96_1127;97_1323;98_1599;99_5112,animal.6,670.694155787076,13.217866348444561
43,90_210;96_728;97_851;98_992;99_1256,animal.6,670.1035239496232,13.01917247515424
44,90_15775;96_858;97_1003;98_1239;99_1571,animal.6,670.0492780586509,13.088827772369989
45,90_15360;96_2184;97_2643;98_3276;99_4358,animal.6,669.5099055712774,13.206818540490861
46,90_20;96_774;97_902;98_1058;99_1339,animal.6,667.9296652526261,13.085967704166963
47,90_18;96_1251;97_1484;98_1809;99_2317,animal.6,667.8396825308345,13.190597507523934
48,90_15355;96_5345;97_6453;98_8029;99_10771,animal.6,667.8326185084694,12.917297865943278
49,90_4;96_456;97_522;98_600;99_751,animal.6,664.1823315545303,12.996085035080572
50,90_350;96_1502;97_6782;98_8412;99_11263,animal.6,663.5623988518357,13.106511935208331
51,90_1;96_431;97_492;98_563;99_701,animal.6,663.1159356244476,12.815767557711684
52,90_295;96_3484;97_4271;98_5467;99_7460,animal.6,662.7754969918299,13.187246732318107
53,90_80;96_246;97_25280;98_32056;99_44168,animal.6,661.2251248911884,12.782867973450664
54,90_4;96_507;97_583;98_670;99_844,animal.6,661.2137893485283,13.149694175585369
55,90_15355;96_42;97_98;98_107;99_1797,animal.6,661.192925643888,13.031317399149025
56,90_156;96_658;97_4712;98_6058;99_11427,animal.6,660.9765963364816,13.055071763816677
57,90_80;96_33750;97_42794;98_55897;99_80268,animal.6,660.7526382934968,12.75550147747506
58,90_80;96_51703;97_66616;98_89031;99_133188,animal.6,660.5665166033067,12.72644367696712
59,90_303;96_5629;97_6780;98_8410;99_11261,animal.6,659.8703797586118,13.03376133076075
60,90_4;96_4;97_490;98_763;99_978,animal.6,658.5915220457332,12.916289167225138
61,90_8991;96_38979;97_49648;98_65291;99_95122,animal.6,658.5749150463637,12.927769338462307
62,90_80;96_246;97_25280;98_67877;99_99212,animal.6,658.4308561166398,12.757895665768357
63,90_3;96_3;97_3;98_6476;99_8858,animal.6,658.1344115569483,13.05057355426248
64,90_15818;96_2659;97_3263;98_4107;99_5500,animal.6,657.2090286339478,12.851378245014995
65,90_44;96_87;97_173;98_1700;99_2177,animal.6,656.8253930114582,12.891284964750316
66,90_80;96_246;97_25280;98_71567;99_105144,animal.6,656.5622949376117,12.661542893471946
67,90_4;96_4;97_4;98_523;99_646,animal.6,656.3880641486702,12.940506612483857
68,90_10203;96_44327;97_56774;98_75231;99_110857,animal.6,655.4467657037507,13.007506573059837
69,90_1;96_1;97_1;98_8162;99_55752,animal.6,655.1296649481005,12.755020079701309
70,90_238;96_1510;97_1802;98_2812;99_3679,animal.6,654.8369105302487,12.835672759706409
71,90_4;96_4;97_4;98_243;99_288,animal.6,654.821187354338,12.79770510508954
72,90_4;96_49593;97_63846;98_85129;99_126901,animal.6,654.1297768192846,12.940602123117833
73,90_15971;96_831;97_970;98_1141;99_1443,animal.6,654.0518394736849,13.150691961436166
74,90_4;96_4;97_4;98_523;99_6033,animal.6,654.031121090313,12.885284078191178
75,90_80;96_63404;97_82216;98_111348;99_169852,animal.6,653.9143698510929,12.43415520926581
76,90_10;96_322;97_358;98_405;99_492,animal.6,653.4754609588465,12.843923516782667
77,90_17;96_26;97_27;98_30;99_31,animal.6,653.1112982231145,12.559346448676042
78,90_13;96_15620;97_19133;98_23871;99_32172,animal.6,652.7116109905196,12.943184169593527
79,90_387;96_1709;97_2046;98_2513;99_3277,animal.6,652.6100665757158,12.901237087094273
80,90_108;96_3061;97_3759;98_13443;99_17809,animal.6,652.5233840307167,12.859200101245834
81,90_18;96_30;97_31;98_34;99_277,animal.6,652.3443095935093,13.00260731921636
82,90_80;96_67497;97_87712;98_119240;99_183123,animal.6,651.852844639533,12.694364178859882
83,90_15355;96_42;97_98;98_107;99_119,animal.6,651.5886405415446,12.895123207482737
84,90_3;96_3;97_3;98_3;99_3,animal.6,651.2887006907462,12.81851665383885
85,90_124;96_2643;97_3240;98_4073;99_13331,animal.6,651.1979854977274,12.859403431034702
86,90_112;96_314;97_350;98_395;99_1828,animal.6,651.1628513670637,12.8588514363294
87,90_10;96_917;97_1068;98_1277;99_1619,animal.6,651.0199700548726,12.815482245118316
88,90_46;96_486;97_555;98_638;99_799,animal.6,650.7705578751635,13.107512999604308
89,90_44;96_2236;97_2931;98_3665;99_4897,animal.6,650.4593894642425,12.820079451264633
90,90_140;96_4058;97_4979;98_6360;99_8707,animal.6,650.0725931494643,12.918870797710643
91,90_172;96_3849;97_6223;98_8139;99_10930,animal.6,649.6866727561278,12.75278588853409
92,90_15775;96_1498;97_1787;98_2184;99_2816,animal.6,649.178708794932,12.924760306732994
93,90_15360;96_410;97_598;98_687;99_868,animal.6,649.1470685442664,12.804093216522102
94,90_23;96_17338;97_21323;98_26743;99_36262,animal.6,648.9708911229222,12.537936392664193
95,90_13;96_938;97_1091;98_1301;99_1645,animal.6,648.3235002303679,12.843444338746412
96,90_80;96_246;97_81545;98_110421;99_168299,animal.6,648.2418452610201,12.50507986824249
97,90_76;96_18358;97_22674;98_28547;99_38977,animal.6,648.218806674535,12.765570765841234
98,90_217;96_789;97_918;98_1077;99_1364,animal.6,647.8687453273353,12.881010714258577
99,90_4;96_33;97_34;98_37;99_39,animal.6,647.7522951519536,12.885386559499134
100,90_18;96_273;97_301;98_4715;99_6380,animal.6,647.7323072262939,12.903966044965689
101,90_44;96_87;97_92;98_101;99_112,animal.6,647.7220356284565,12.927670783472292
102,90_13;96_1400;97_1671;98_5568;99_7605,animal.6,647.4206916686304,12.74225729268787
103,90_16509;96_664;97_768;98_889;99_1135,animal.6,647.4096047032094,12.821224455942367
104,90_172;96_67747;97_88042;98_119694;99_183869,animal.6,646.953228546011,12.647213289574056
105,90_108;96_37364;97_47508;98_62282;99_90284,animal.6,646.9431645046474,12.872711650814619
106,90_387;96_1709;97_2046;98_2513;99_8511,animal.6,646.1447414447881,12.852106369229007
107,90_807;96_7635;97_9167;98_11239;99_14841,animal.6,645.9551620829404,12.797562236074054
108,90_44;96_30619;97_38716;98_50300;99_71755,animal.6,645.8689033053103,12.733865862769473
109,90_9;96_424;97_1160;98_1384;99_1750,animal.6,645.852634765606,12.950462841530225
110,90_58;96_124;97_132;98_149;99_170,animal.6,645.3866609715092,12.659373054645014
111,90_15963;96_304;97_1393;98_6576;99_8978,animal.6,645.3433327443538,12.660965873700825
112,90_10;96_2775;97_3413;98_4310;99_5795,animal.6,645.2491522798375,12.663975831921723
113,90_217;96_1963;97_2360;98_2913;99_3824,animal.6,645.1915982594105,12.812271197956548
114,90_44;96_260;97_284;98_317;99_379,animal.6,644.8685456325363,12.840678228186716
115,90_15355;96_42;97_98;98_107;99_2121,animal.6,644.8031346215423,12.852895461528165
116,90_15355;96_42;97_4128;98_5281;99_7185,animal.6,644.7980260679777,12.680872110011991
117,90_76;96_4350;97_5301;98_6706;99_9125,animal.6,644.3728233434251,12.78040444249474
118,90_10;96_44917;97_57558;98_76302;99_112575,animal.6,644.3001180910406,12.749072362906636
119,90_17;96_73;97_76;98_83;99_92,animal.6,644.0512309277269,12.668972342367416
120,90_217;96_3892;97_4790;98_6145;99_8414,animal.6,643.8666712601539,12.797175664070323
121,90_353;96_13858;97_16877;98_20962;99_28007,animal.6,643.8280511948827,12.775330673915782
122,90_1796;96_37428;97_47586;98_62384;99_90428,animal.6,643.793731787593,12.746717285456075
123,90_10;96_1164;97_1368;98_86485;99_129145,animal.6,643.512062194294,12.855386782038101
124,90_295;96_1148;97_1348;98_1632;99_2089,animal.6,643.4925294684027,12.768312688468828
125,90_108;96_2655;97_3259;98_4099;99_5489,animal.6,643.0176211227074,12.768960977398653
126,90_314;96_1263;97_1498;98_1824;99_2337,animal.6,642.8986386038341,12.753826372126866
127,90_184;96_2034;97_2452;98_3034;99_4005,animal.6,642.8918378422175,12.768712843634296
128,90_15862;96_3487;97_4274;98_5471;99_7466,animal.6,642.8316801671245,12.80603609326423
129,90_80;96_46711;97_59992;98_79720;99_118133,animal.6,642.7678994916398,12.554893846386854
130,90_13;96_23963;97_29981;98_38329;99_53547,animal.6,642.6460786014841,12.770250144940821
131,90_310;96_1659;97_1986;98_2442;99_4310,animal.6,642.4425826353922,12.817442961901268
132,90_13;96_19;97_20;98_23;99_24,animal.6,642.3973232670465,12.556379219816991
133,90_224;96_1617;97_1934;98_2378;99_3098,animal.6,642.2224234337383,12.708967275156516
134,90_347;96_5014;97_6068;98_7588;99_10198,animal.6,642.1145450431877,12.675531474168116
135,90_350;96_3894;97_4792;98_6147;99_8418,animal.6,641.9009626173003,12.682298732048027
136,90_45;96_107;97_114;98_126;99_145,animal.6,641.851055864033,12.605229589173192
137,90_108;96_5360;97_10940;98_13444;99_17810,animal.6,641.8064122889072,12.714844916713673
138,90_27;96_12833;97_15576;98_23555;99_31716,animal.6,641.4664578851352,12.627496243829214
139,90_150;96_489;97_558;98_2833;99_3706,animal.6,641.3929038985716,12.813728417446226
140,90_4;96_8;97_8;98_10;99_11,animal.6,641.3635831984275,12.728115307264817
